时间,天气状况,温度(℃),降水量(mm),风向,风力(级),风速(km/h),气压(hPa),湿度(%),能见度(km),云量%
2024-01-05 23:00,晴,2.7,0,西北风,1,3,976,51,10.1,15
2024-01-06 00:00,晴,3.3,0,西北风,1,3,976,50,10.6,19
2024-01-06 01:00,晴,1.6,0,西北风,1,3,977,54,8.9,0
2024-01-06 02:00,晴,0.5,0,西北风,1,3,977,54,8.9,0
2024-01-06 03:00,晴,0.3,0,西风,1,1,977,68,6.7,0
2024-01-06 04:00,晴,-1,0,西北风,1,3,977,59,8.6,0
2024-01-06 05:00,晴,-0.8,0,静风,0,1,977,65,8,0
2024-01-06 06:00,晴,-1.6,0,东北风,1,4,978,72,6,0
2024-01-06 07:00,晴,-1.5,0,东风,2,6,979,69,6.9,0
2024-01-06 08:00,晴,-1.7,0,东北风,2,6,980,70,7,0
2024-01-06 09:00,晴,0,0,东北风,1,5,981,68,7,0
2024-01-06 10:00,晴,4.2,0,东北风,2,7,981,56,7.3,0
2024-01-06 11:00,晴,5.5,0,东风,3,14,981,33,19.2,1
2024-01-06 12:00,晴,6.9,0,东风,3,17,980,25,30,7
2024-01-06 13:00,晴,7.7,0,东北风,3,17,980,20,30,0
2024-01-06 14:00,晴,8,0,东风,3,15,978,20,30,0
2024-01-06 15:00,晴,8.2,0,东北风,3,15,978,20,30,0
2024-01-06 16:00,晴,8,0,东风,3,14,977,20,30,0
2024-01-06 17:00,晴,7.1,0,东风,2,9,978,21,30,0
2024-01-06 18:00,晴,5.8,0,东风,2,9,978,24,30,0
2024-01-06 19:00,晴,5.1,0,东风,2,9,979,26,30,0
2024-01-06 20:00,晴,3.6,0,东风,2,9,979,26,26.4,0
2024-01-06 21:00,晴,2.7,0,东北风,1,5,979,32,24.9,0
2024-01-06 22:00,晴,3,0,东风,2,9,980,28,20.5,0
2024-01-06 23:00,晴,2.9,0,东北风,2,11,980,26,21,0
2024-01-07 00:00,晴,1.4,0,东北风,2,8,980,29,23.8,0
2024-01-07 01:00,晴,1.5,0,东北风,2,9,980,31,27,5
2024-01-07 02:00,晴,1.1,0,东北风,2,9,980,32,27,5
2024-01-07 03:00,多云,1.2,0,东北风,2,8,980,31,28,50
2024-01-07 04:00,多云,0.9,0,东北风,2,6,980,30,30,41
2024-01-07 05:00,晴,0.5,0,东风,2,8,979,29,30,27
2024-01-07 06:00,晴,-0.9,0,东风,2,10,979,35,26.1,9
2024-01-07 07:00,多云,-1.1,0,东风,2,10,979,35,26.1,64
2024-01-07 08:00,晴,-1.3,0,东北风,2,7,980,44,24.9,28
2024-01-07 09:00,多云,-0.4,0,东北风,2,8,980,38,26,44
2024-01-07 10:00,晴,1.4,0,东北风,2,11,980,33,30,23
2024-01-07 11:00,晴,1.3,0,东北风,2,11,980,33,30,20
2024-01-07 12:00,晴,2.9,0,东风,3,13,979,37,18.1,6
2024-01-07 13:00,晴,4.3,0,东风,2,10,978,31,24.5,5
2024-01-07 14:00,晴,4.4,0,东北风,3,13,977,31,20.2,6
2024-01-07 15:00,晴,4.4,0,东风,2,11,976,36,18.2,0
2024-01-07 16:00,晴,4.2,0,东风,2,10,975,36,18.3,0
2024-01-07 17:00,晴,3.4,0,东北风,2,11,975,37,17,0
2024-01-07 18:00,晴,2.3,0,东北风,2,11,975,37,17,0
2024-01-07 19:00,晴,0.8,0,东北风,1,5,976,47,11.8,0
2024-01-07 20:00,晴,0.8,0,北风,1,4,976,50,12.2,0
2024-01-07 21:00,晴,-0.1,0,北风,1,4,976,50,12.2,0
2024-01-07 22:00,晴,0.1,0,西北风,1,3,976,57,10.5,0
2024-01-07 23:00,晴,-0.2,0,西北风,1,3,976,57,10.5,0
2024-01-08 00:00,晴,-0.8,0,东北风,1,1,976,59,9.2,0
2024-01-08 01:00,晴,0,0,南风,1,5,976,54,9.9,0
2024-01-08 02:00,晴,-1.6,0,南风,1,5,976,54,9.9,0
2024-01-08 03:00,晴,-2.4,0,南风,1,3,975,54,9.9,3
2024-01-08 04:00,晴,-2.8,0,静风,0,1,974,66,8.4,6
2024-01-08 05:00,晴,-3.2,0,东北风,1,3,973,71,7.4,2
2024-01-08 06:00,晴,-3.4,0,西北风,1,3,973,74,7.2,2
2024-01-08 07:00,晴,-3.8,0,东北风,1,3,974,70,7.8,0
2024-01-08 08:00,晴,-3.5,0,南风,1,1,974,66,10.4,0
2024-01-08 09:00,晴,-1.7,0,北风,1,1,974,67,7.6,0
2024-01-08 10:00,晴,0.6,0,东北风,1,5,974,55,9.9,0
2024-01-08 11:00,晴,2.8,0,北风,1,5,973,49,10.3,0
2024-01-08 12:00,晴,4.4,0,北风,1,5,973,49,10.3,0
2024-01-08 13:00,晴,5.5,0,东北风,2,6,972,42,11,0
2024-01-08 14:00,晴,6.9,0,东风,2,6,969,35,11.2,0
2024-01-08 15:00,晴,6.9,0,南风,1,5,968,34,10.5,0
2024-01-08 16:00,晴,7.3,0,东北风,1,5,968,32,11.9,0
2024-01-08 17:00,晴,6.7,0,东风,2,8,968,34,11.9,0
2024-01-08 18:00,晴,6.7,0,东风,2,8,968,34,11.9,0
2024-01-08 19:00,晴,3.6,0,东北风,1,3,971,47,10,0
2024-01-08 20:00,晴,3.1,0,西风,1,3,972,48,8.9,0
2024-01-08 21:00,晴,3.1,0,西风,1,3,972,48,8.9,27
2024-01-08 22:00,多云,3.1,0,西风,1,5,974,49,8.6,71
2024-01-08 23:00,多云,2.9,0,西北风,2,6,974,50,8.1,44
2024-01-09 00:00,多云,2.9,0,南风,2,7,974,52,7.8,50
2024-01-09 01:00,多云,3,0,西南风,2,6,975,53,7.5,41
2024-01-09 02:00,晴,3,0,西南风,2,6,975,53,7.5,3
2024-01-09 03:00,晴,2.6,0,西南风,2,7,974,55,6.9,0
2024-01-09 04:00,晴,2.8,0,西南风,2,6,974,54,7.6,2
2024-01-09 05:00,晴,1.8,0,西风,2,6,974,58,6.9,0
2024-01-09 06:00,晴,0.8,0,西北风,1,5,975,61,6.4,0
2024-01-09 07:00,晴,0.1,0,东南风,1,1,975,66,6.3,0
2024-01-09 08:00,晴,0.1,0,东南风,1,1,975,66,6.3,0
2024-01-09 09:00,晴,0.8,0,西南风,2,7,976,66,5.8,0
2024-01-09 10:00,晴,3.6,0,西北风,1,2,977,57,4.6,0
2024-01-09 11:00,晴,7.4,0,西南风,2,8,977,45,6.5,0
2024-01-09 12:00,晴,10.6,0,西南风,2,6,976,30,8.6,0
2024-01-09 13:00,晴,12.7,0,西南风,1,5,974,22,11.4,0
2024-01-09 14:00,晴,14,0,西南风,2,8,973,16,17.1,0
2024-01-09 15:00,晴,14.8,0,西南风,2,6,973,14,23.6,0
2024-01-09 16:00,晴,14.8,0,西南风,2,6,972,14,28.1,0
2024-01-09 17:00,晴,14.2,0,南风,2,6,973,14,26.1,0
2024-01-09 18:00,晴,11.3,0,南风,1,4,973,19,19.1,0
2024-01-09 19:00,晴,9.7,0,西南风,2,6,974,22,21.9,0
2024-01-09 20:00,晴,9,0,东风,2,11,975,26,18,0
2024-01-09 21:00,晴,6.4,0,北风,1,4,976,32,15.2,0
2024-01-09 22:00,晴,6,0,东北风,3,12,977,36,12.6,0
2024-01-09 23:00,晴,6,0,东北风,3,12,977,36,13.6,0
2024-01-10 00:00,晴,5,0,东北风,3,14,978,36,13.6,0
2024-01-10 01:00,晴,4.5,0,东北风,2,11,978,38,21,0
2024-01-10 02:00,晴,4.2,0,东风,2,12,978,39,26,0
2024-01-10 03:00,晴,2.9,0,东北风,2,8,978,43,26,0
2024-01-10 04:00,晴,2.9,0,东北风,2,8,978,43,25.7,0
2024-01-10 05:00,晴,2.1,0,东北风,2,10,977,46,26.9,0
2024-01-10 06:00,晴,1.6,0,东风,2,9,977,48,24.2,0
2024-01-10 07:00,晴,0.7,0,东风,2,6,977,52,24.5,0
2024-01-10 08:00,晴,0.7,0,东风,2,6,977,52,24.5,0
2024-01-10 09:00,晴,1.1,0,东风,1,5,978,54,19.4,0
2024-01-10 10:00,晴,3,0,东北风,2,7,979,45,19.4,0
2024-01-10 11:00,晴,3,0,东北风,2,7,979,45,23.5,0
2024-01-10 12:00,晴,4,0,东风,2,10,978,42,18.1,0
2024-01-10 13:00,晴,6,0,东风,2,7,976,37,18.1,0
2024-01-10 14:00,晴,6.6,0,东风,2,6,974,37,16.7,0
2024-01-10 15:00,晴,6.9,0,东北风,1,4,974,38,14.9,1
2024-01-10 16:00,晴,7.4,0,东风,1,4,973,36,14.8,19
2024-01-10 17:00,多云,6.9,0,东北风,1,3,973,38,14.3,37
2024-01-10 18:00,晴,5.9,0,南风,1,4,973,41,12.9,26
2024-01-10 19:00,多云,5.3,0,南风,1,3,973,44,12.9,49
2024-01-10 20:00,晴,4.5,0,西北风,1,4,974,46,8.3,15
2024-01-10 21:00,晴,3.2,0,西北风,1,3,974,51,8.2,0
2024-01-10 22:00,晴,2.2,0,西风,1,2,974,53,9.7,1
2024-01-10 23:00,晴,3,0,西南风,1,5,974,53,10.6,0
2024-01-11 00:00,晴,1.9,0,西南风,1,5,974,53,10.6,0
2024-01-11 01:00,晴,0.1,0,西北风,1,3,973,59,9.3,0
2024-01-11 02:00,晴,1.4,0,西北风,1,3,973,59,9.3,5
2024-01-11 03:00,晴,1.4,0,西南风,2,6,972,58,7.9,0
2024-01-11 04:00,晴,-0.6,0,西风,1,4,972,65,7.8,0
2024-01-11 05:00,晴,-0.5,0,西北风,1,4,972,67,7.8,0
2024-01-11 06:00,晴,-1.5,0,西北风,1,5,972,65,7.3,0
2024-01-11 07:00,晴,-1.5,0,南风,1,2,972,68,7.7,0
2024-01-11 08:00,晴,-2.1,0,北风,1,5,972,71,7.3,0
2024-01-11 09:00,晴,0.3,0,东北风,1,3,972,70,6.7,0
2024-01-11 10:00,晴,3.5,0,东风,1,3,973,60,7.6,0
2024-01-11 11:00,晴,4.7,0,东风,1,4,973,50,7.1,0
2024-01-11 12:00,晴,7.5,0,西南风,1,5,972,41,9.7,0
2024-01-11 13:00,晴,9.6,0,西南风,1,5,970,37,10.3,0
2024-01-11 14:00,晴,11.2,0,南风,1,4,969,34,9,0
2024-01-11 15:00,晴,11.8,0,东南风,1,4,969,33,8.1,0
2024-01-11 16:00,晴,11.9,0,东风,1,4,968,32,7.7,0
2024-01-11 17:00,晴,10.7,0,东北风,1,5,968,34,8.4,0
2024-01-11 18:00,晴,8,0,东风,1,5,968,41,8.7,0
2024-01-11 19:00,晴,6.5,0,东南风,1,4,969,49,7.8,1
2024-01-11 20:00,晴,5.6,0,东北风,1,5,970,53,9.2,0
2024-01-11 21:00,晴,4.6,0,东南风,1,3,970,54,8.6,0
2024-01-11 22:00,晴,3.3,0,北风,1,1,970,61,5.8,0
2024-01-11 23:00,晴,2.7,0,西北风,1,4,971,62,5.6,0
2024-01-12 00:00,晴,2.2,0,北风,1,5,971,66,5.2,0
2024-01-12 01:00,晴,1.6,0,北风,1,5,971,67,5.1,0
2024-01-12 02:00,晴,0.7,0,北风,1,5,971,67,5.1,0
2024-01-12 03:00,晴,0.3,0,东北风,1,4,971,70,5.2,0
2024-01-12 04:00,晴,0.2,0,西北风,1,3,971,69,5.3,0
2024-01-12 05:00,晴,-0.2,0,东风,1,3,971,73,5.6,0
2024-01-12 06:00,霾,-0.5,0,东南风,1,3,971,73,4.2,0
2024-01-12 07:00,霾,-0.7,0,西北风,1,3,971,79,4.3,0
2024-01-12 08:00,霾,-1.4,0,东风,1,1,971,79,4.4,0
2024-01-12 09:00,晴,0.4,0,东北风,1,4,972,73,6.6,0
2024-01-12 10:00,晴,4,0,北风,1,3,972,68,5.7,0
2024-01-12 11:00,晴,4.6,0,南风,1,4,973,58,4.6,2
2024-01-12 12:00,晴,5.9,0,东北风,2,8,972,50,5.4,3
2024-01-12 13:00,晴,7.9,0,东风,1,3,970,44,5.6,0
2024-01-12 14:00,晴,9.7,0,东北风,2,6,969,39,6.3,0
2024-01-12 15:00,晴,10.5,0,东北风,2,6,969,36,6.3,0
2024-01-12 16:00,晴,10.8,0,东风,1,5,968,36,6.9,0
2024-01-12 17:00,晴,10.1,0,东风,1,4,969,38,7.4,0
2024-01-12 18:00,晴,7.7,0,东风,1,4,969,46,6.9,0
2024-01-12 19:00,晴,6.4,0,东风,1,4,969,51,6.9,0
2024-01-12 20:00,晴,5.6,0,南风,1,1,969,54,6.6,0
2024-01-12 21:00,晴,4.7,0,东风,1,2,969,58,6.5,0
2024-01-12 22:00,晴,3.5,0,东北风,1,4,970,62,4.8,0
2024-01-12 23:00,霾,3.3,0,西北风,1,5,970,62,4.2,0
2024-01-13 00:00,霾,3.3,0,西北风,1,5,970,62,4.2,0
2024-01-13 01:00,霾,2.3,0,西北风,2,6,970,65,3.8,0
2024-01-13 02:00,霾,1.5,0,西北风,1,3,970,67,3.7,0
2024-01-13 03:00,霾,0.9,0,西北风,1,3,970,70,3.1,0
2024-01-13 04:00,霾,-0.1,0,东风,1,3,970,74,2.9,0
2024-01-13 05:00,霾,0.7,0,南风,1,4,970,78,3,0
2024-01-13 06:00,晴,0.1,0,西北风,2,7,971,76,3,0
2024-01-13 07:00,霾,-0.2,0,西北风,1,3,971,73,3.7,0
2024-01-13 08:00,霾,-0.4,0,北风,1,3,971,77,3.8,0
2024-01-13 09:00,霾,-0.1,0,西北风,1,3,972,76,3.1,0
2024-01-13 10:00,霾,2.2,0,静风,0,1,973,70,3.6,0
2024-01-13 11:00,霾,5.6,0,南风,2,6,973,60,3.2,0
2024-01-13 12:00,霾,7.2,0,西风,2,9,972,55,3.1,0
2024-01-13 13:00,霾,8.7,0,西南风,2,6,971,48,3.7,0
2024-01-13 14:00,晴,10.2,0,西南风,2,7,970,41,4.6,0
2024-01-13 15:00,晴,11.4,0,西南风,2,8,969,37,4.8,0
2024-01-13 16:00,晴,11.9,0,西南风,2,7,969,36,4.9,0
2024-01-13 17:00,晴,11.6,0,西南风,2,7,969,37,5.2,1
2024-01-13 18:00,晴,9.8,0,西南风,1,4,970,44,4.6,0
2024-01-13 19:00,晴,9.2,0,西南风,2,8,971,46,4.8,0
2024-01-13 20:00,霾,7.5,0,北风,1,2,972,53,4.1,0
2024-01-13 21:00,霾,7.9,0,西风,2,6,973,51,4.1,0
2024-01-13 22:00,霾,7.2,0,西南风,2,8,973,55,3.9,0
2024-01-13 23:00,霾,5.7,0,西北风,1,3,974,60,3.5,0
2024-01-14 00:00,霾,5,0,东北风,1,3,975,65,3.2,0
2024-01-14 01:00,霾,3.4,0,西北风,1,2,975,71,2.6,9
2024-01-14 02:00,霾,3.4,0,西北风,1,2,975,71,2.6,53
2024-01-14 03:00,霾,2.7,0,西北风,1,4,976,71,2.5,54
2024-01-14 04:00,霾,2.1,0,东南风,1,1,977,74,2.3,11
2024-01-14 05:00,霾,2.1,0,东南风,1,1,977,74,2.3,1
2024-01-14 06:00,雾,1.1,0,东北风,1,5,978,82,1.9,0
2024-01-14 07:00,晴,1.3,0,南风,1,4,979,81,2.2,0
2024-01-14 08:00,晴,1,0,东北风,1,5,980,80,2.1,0
2024-01-14 09:00,霾,1.6,0,西北风,1,2,981,77,2.3,0
2024-01-14 10:00,霾,5.1,0,东北风,1,5,981,52,4.2,0
2024-01-14 11:00,晴,7.3,0,东北风,3,12,982,36,9.5,0
2024-01-14 12:00,晴,7.3,0,东北风,3,12,982,36,9.5,0
2024-01-14 13:00,晴,9.1,0,东北风,3,16,979,32,13.6,0
2024-01-14 14:00,晴,10,0,东北风,2,10,978,32,16.1,1
2024-01-14 15:00,晴,10.6,0,东风,2,11,978,28,18.9,0
2024-01-14 16:00,晴,10.7,0,东风,2,11,978,28,21.2,0
2024-01-14 17:00,晴,10,0,东风,2,8,978,30,18.4,0
2024-01-14 18:00,晴,8.4,0,东风,1,5,978,33,18.4,0
2024-01-14 19:00,晴,7.8,0,东风,2,8,978,35,17,0
2024-01-14 20:00,晴,6.7,0,东北风,2,7,979,39,15,7
2024-01-14 21:00,晴,6.7,0,东北风,2,7,979,39,15,6
2024-01-14 22:00,晴,5.8,0,东北风,2,6,980,42,10.8,9
2024-01-14 23:00,晴,6.1,0,东北风,2,8,981,41,11,1
2024-01-15 00:00,晴,6.1,0,东风,3,19,980,44,7.2,14
2024-01-15 01:00,多云,5,0,东风,4,22,980,53,4.4,55
2024-01-15 02:00,多云,5,0,东风,4,22,980,53,4.4,57
2024-01-15 03:00,霾,4.2,0,东北风,3,14,980,56,4.2,56
2024-01-15 04:00,多云,3.8,0,东风,4,21,980,54,5,67
2024-01-15 05:00,扬沙,3.3,0,东风,4,23,979,54,5.6,84
2024-01-15 06:00,阴,2.7,0,东风,4,24,979,51,7.3,95
2024-01-15 07:00,阴,2.7,0,东风,3,18,979,52,7.9,91
2024-01-15 08:00,小雨,2.7,0,东风,3,18,979,52,7.9,95
2024-01-15 09:00,中雨,2.5,0,东北风,3,19,980,52,7.3,95
2024-01-15 10:00,大雪,0.4,0.2,东风,3,17,981,80,2,95
2024-01-15 11:00,大雪,-0.4,2.4,东风,3,14,981,94,0.8,95
2024-01-15 12:00,阴,-0.3,1.2,东风,3,13,980,95,0.8,95
2024-01-15 13:00,中雪,-0.6,0.7,东风,3,13,979,95,2.2,95
2024-01-15 14:00,小雪,-0.4,0,东北风,3,14,978,94,2.8,92
2024-01-15 15:00,阴,-0.4,0.1,东北风,2,11,978,93,2.5,90
2024-01-15 16:00,多云,-0.3,0.1,东北风,2,9,978,94,2.5,76
2024-01-15 17:00,多云,-0.5,0,东北风,3,14,978,93,3.5,64
2024-01-15 18:00,多云,-0.5,0,东北风,3,14,978,93,3.5,73
2024-01-15 19:00,多云,-0.4,0.2,东北风,3,13,979,92,3.9,78
2024-01-15 20:00,多云,-0.6,0,东风,2,10,979,90,6.2,64
2024-01-15 21:00,多云,-0.6,0,东北风,2,7,979,90,5.7,38
2024-01-15 22:00,多云,-0.7,0,东北风,2,6,980,91,5.4,57
2024-01-15 23:00,多云,-0.7,0,东北风,2,6,980,91,5.4,55
2024-01-16 00:00,多云,-0.6,0,东北风,2,6,979,90,6.5,61
2024-01-16 01:00,,,,,,,,,,
2024-01-16 02:00,,,,,,,,,,
2024-01-16 03:00,,,,,,,,,,
2024-01-16 04:00,,,,,,,,,,
2024-01-16 05:00,,,,,,,,,,
2024-01-16 06:00,,,,,,,,,,
2024-01-16 07:00,,,,,,,,,,
2024-01-16 08:00,晴,-0.6,0,东北风,1,5,978,90,5.2,1
2024-01-16 09:00,多云,-0.5,0,东北风,2,7,978,89,5,38
2024-01-16 10:00,多云,-0.4,0,东北风,2,7,979,88,4.5,64
2024-01-16 11:00,大雪,-0.1,0,北风,1,3,980,88,4,94
2024-01-16 12:00,暴雪,-0.3,0,东风,2,7,978,88,4.1,95
2024-01-16 13:00,中雪,-0.3,0.4,东风,1,3,977,89,1.8,95
2024-01-16 14:00,大雪,-0.4,0.9,东北风,1,5,977,92,1.7,94
2024-01-16 15:00,小雪,-0.4,0,东北风,1,5,976,92,3.4,81
2024-01-16 16:00,大雪,-0.5,0,东北风,1,5,976,92,3.4,70
